# LAMMPS data file written by OVITO Basic 3.3.1
272 atoms
4 atom types
0.0 15.4231 xlo xhi
0.0 15.4041999989 ylo yhi
0.0 18.4378999905 zlo zhi
-1.8819780604e-04 -5.7924371178e-04 -1.2872790167e-04 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 14.0067  # N
4 65.38  # Zn

Atoms  # charge

1 1 0.0 13.3892398112 11.4156348744 15.7068782439
2 2 0.0 12.7325276176 12.1719839045 15.3043788871
3 1 0.0 14.0974589828 9.6258138879 16.7078718343
4 2 0.0 14.0564282915 8.6901590739 17.2386989751
5 1 0.0 15.1892649396 10.3461172818 16.2779000066
6 2 0.0 0.8175569619 10.1392381575 16.3807834885
7 1 0.0 10.387681285 8.3234063043 14.1975517506
8 2 0.0 11.1073336928 8.8969085746 13.6383302439
9 1 0.0 10.1700922788 12.9819297158 16.3105350896
10 2 0.0 10.7738766135 13.3215865742 17.1343404611
11 1 0.0 9.2054371179 11.5960233561 14.9477899013
12 2 0.0 8.8894437976 10.6774741941 14.4774390725
13 1 0.0 1.7353097305 13.2069760462 17.6041381529
14 2 0.0 0.8756153747 12.7944480585 18.1071240646
15 1 0.0 1.7578342826 13.707341613 12.2829602156
16 2 0.0 1.655408412 14.7751599923 12.3924813416
17 1 0.0 13.8660677575 15.3205981079 15.9168859248
18 2 0.0 14.2233905699 15.2095267652 16.9282047392
19 1 0.0 13.6309359554 15.0592037857 13.7753238409
20 2 0.0 13.8101881665 14.6620903851 12.7905556024
21 1 0.0 11.4565913087 9.1674930866 1.2115544084
22 2 0.0 12.4776103245 8.8957644378 1.0054186865
23 1 0.0 3.04847257 13.9457723968 16.0402354757
24 2 0.0 3.3694549446 14.2284463821 15.0497514882
25 3 0.0 12.9539934503 10.3097629141 16.3431701725
26 3 0.0 14.7332099196 11.4840299691 15.6428987309
27 3 0.0 10.6200677824 9.6377902381 0.2195953889
28 3 0.0 10.234330872 8.4869893966 15.5599281809
29 3 0.0 10.0020055689 11.6383773176 16.0347041057
30 3 0.0 1.7732886593 13.4814881032 16.2845376506
31 3 0.0 1.1425905306 12.8215940873 13.1460383142
32 3 0.0 14.340523814 14.6129364614 14.8710882373
33 4 0.0 10.9883117928 9.9885827915 16.7087937293
34 4 0.0 0.2880902862 13.1247361203 14.9540587873
35 1 0.0 9.7446789534 3.9882561249 6.4879282486
36 2 0.0 10.401107969 3.2319127138 6.0856132708
37 1 0.0 9.0362426605 5.7782171774 7.4887374601
38 2 0.0 9.0773942357 6.7138645806 8.0193802218
39 1 0.0 7.9446179506 5.0579197874 7.0587656323
40 2 0.0 6.8932194678 5.2649515184 7.1614647353
41 1 0.0 12.7466407869 7.0800436457 4.9784173764
42 2 0.0 12.0273319857 6.5063951433 4.4190114907
43 1 0.0 12.9636343241 2.4221068965 7.0915850943
44 2 0.0 12.3596439972 2.082438535 7.9153904659
45 1 0.0 13.928529334 3.8080322834 5.729024285
46 2 0.0 14.2447064402 4.7264339712 5.2586734563
47 1 0.0 5.9752355929 2.197042503 8.3851881577
48 2 0.0 6.8348983452 2.6095634672 8.8881740694
49 1 0.0 5.9528911435 1.6967512366 3.0641945994
50 2 0.0 6.0553101366 0.6290853713 3.1735313464
51 1 0.0 9.2675293558 0.0832899603 6.6977515505
52 2 0.0 8.9099887694 0.1943471816 7.709070365
53 1 0.0 9.5029499435 0.34502227 4.5561894666
54 2 0.0 9.3237595994 0.7423034621 3.5716056072
55 1 0.0 11.6776589842 6.2366256322 10.4303200246
56 2 0.0 10.6564986816 6.5085112 10.2243686817
57 1 0.0 4.6621710163 1.4582679897 6.8212854805
58 2 0.0 4.3412508757 1.175607835 5.830801493
59 3 0.0 10.1797311021 5.0942732424 7.1242201773
60 3 0.0 8.4005586321 3.9200159656 6.4239487357
61 3 0.0 12.5140906004 5.7663423305 9.4385453841
62 3 0.0 12.899597124 6.9170576967 6.3409781857
63 3 0.0 13.131892592 3.7655091029 6.8159384895
64 3 0.0 5.9373395713 1.9225488708 7.0657720343
65 3 0.0 6.5680806725 2.5824867121 3.927088319
66 3 0.0 8.793139001 0.7911202504 5.6521382421
67 4 0.0 12.1453897868 5.4154482597 7.4898437341
68 4 0.0 7.4226215466 2.279319433 5.735108792
69 1 0.0 2.0328064673 3.7134070587 11.9505248788
70 2 0.0 2.6895001818 4.4695964265 12.3530242356
71 1 0.0 1.3246310389 1.9237540941 10.9491625303
72 2 0.0 1.3655303615 0.9881066922 10.4183353896
73 1 0.0 0.232807476 2.6440514828 11.3793187371
74 2 0.0 14.6045205145 2.4371737964 11.2762508762
75 1 0.0 5.034749023 0.6213114579 13.459482614
76 2 0.0 4.3152368271 1.1948059182 14.0188884997
77 1 0.0 5.2514530427 5.2800184157 11.3464992751
78 2 0.0 4.6471977116 5.619532734 10.5228782826
79 1 0.0 6.2167590035 3.8940930301 12.7088757054
