MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
280000.0,0.12500,0.1250000000
281000.0,0.50000,0.5000000000
282000.0,1.75000,1.7500000000
283000.0,0.37500,0.3750000000
284000.0,0.00000,0.0000000000
285000.0,0.37500,0.3750000000
286000.0,0.12500,0.1250000000
287000.0,0.12500,0.1250000000
288000.0,0.25000,0.2500000000
289000.0,0.75000,0.7500000000
290000.0,0.12500,0.1250000000
291000.0,0.25000,0.2500000000
292000.0,0.62500,0.6250000000
293000.0,0.37500,0.3750000000
294000.0,0.25000,0.2500000000
295000.0,0.50000,0.5000000000
296000.0,0.25000,0.2500000000
297000.0,0.25000,0.2500000000
298000.0,0.37500,0.3750000000
299000.0,0.75000,0.7500000000
